molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
CHEMBL2338400,CC(C)(C)NC(=O)NCCN1CCN(CC(=O)NC23CC4CC(CC(C4)C2)C3)CC1,500.0,active
CHEMBL2338399,CC(C)(C)C(=O)NCCCN1CCN(CC(=O)NC23CC4CC(CC(C4)C2)C3)CC1,1300.0,intermediate
CHEMBL2338398,CC(C)(C)C(=O)NCCN1CCN(CC(=O)NC23CC4CC(CC(C4)C2)C3)CC1,3000.0,intermediate
CHEMBL2337984,CC(C)(C)NC(=O)CN1CCN(CC(=O)NC23CC4CC(CC(C4)C2)C3)CC1,1000.0,active
CHEMBL2337983,CC(C)(C)NCCN1CCN(CC(=O)NC23CC4CC(CC(C4)C2)C3)CC1,4900.0,intermediate
CHEMBL2165063,COc1ccc2ncc(=O)n(CCN3CCC(NCc4ccc5c(n4)NC(=O)CO5)CC3)c2c1,333000.0,inactive
CHEMBL3355573,N[C@@H](Cn1c(=O)cnc2ccc(F)cc21)[C@H]1CC[C@H](NCc2ncc3c(n2)NC(=O)CO3)CC1,100000.0,inactive
CHEMBL3355575,COc1cnc2ccc(=O)n(C[C@H](N)[C@H]3CC[C@H](NCc4ccc5c(n4)NC(=O)CO5)CC3)c2c1,333000.0,inactive
CHEMBL1486348,CC1CC(C)CN(C(=O)c2cccc(S(=O)(=O)N3c4ccccc4CC3C)c2)C1,3000.0,intermediate
CHEMBL3589094,CC1Cc2ccccc2N1S(=O)(=O)c1cccc(C(=O)NCC2CCCCC2)c1,5000.0,intermediate
CHEMBL3589546,O=C(c1cccc(S(=O)(=O)Nc2ccccc2F)c1)N1CCN2CCC[C@@H]2C1,10600.0,inactive
CHEMBL3589554,O=C(c1cc(S(=O)(=O)Nc2ccccc2F)c(Cl)cc1Cl)N1CCN2CCC[C@@H]2C1,19000.0,inactive
CHEMBL3589557,Cl.O=C(c1cc(S(=O)(=O)Nc2ccccc2F)c(F)cc1Cl)N1CCN2CCC[C@@H]2C1,2300.0,intermediate
CHEMBL3609821,CC(C)C(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)C[C@@H]2CC[C@H]1c1nccnc12,2065.0,intermediate
CHEMBL3609820,CO[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)C[C@@H]2CC[C@H]1c1ccccc12,224.0,active
CHEMBL3609819,COc1cccc2nc(CCCN(C)CC[C@]3(OC(=O)C(C)C)C[C@H]4CCC[C@@H]3c3ccccc34)[nH]c12,84.0,active
CHEMBL3608947,CC(C)C(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)C[C@@H]2CCC[C@H]1c1ccccc12,225.0,active
CHEMBL3609818,CC(C)C(=O)O[C@@]1(CCN(C)CCCc2nc3ccccc3[nH]2)C[C@H]2CCC[C@@H]1c1ccccc12,184.0,active
CHEMBL3608945,CC(C)C(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)C[C@@H]2CC[C@H]1c1ccccc12,350.0,active
CHEMBL3609817,CC(C)C(=O)O[C@@]1(CCN(C)CCCc2nc3ccccc3[nH]2)C[C@H]2CC[C@@H]1c1ccccc12,398.0,active
CHEMBL3608947,CC(C)C(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)C[C@@H]2CCC[C@H]1c1ccccc12,217.0,active
CHEMBL3608946,CN(CCCc1nc2ccccc2[nH]1)CC[C@@]1(OC(=O)C2CC2)C[C@@H]2CC[C@H]1c1ccccc12,210.0,active
CHEMBL3608945,CC(C)C(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)C[C@@H]2CC[C@H]1c1ccccc12,432.0,active
CHEMBL3608944,COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)C[C@@H]2CC[C@H]1c1ccccc12,361.0,active
