molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,PIC50
CHEMBL3908881,C[C@@H]1CN(Cc2ccccc2)c2c(F)cccc2[C@H](C)N1C(=O)Nc1cccnc1,active,404.4890000000001,5.224500000000004,1.0,3.0,6.688246138944246
CHEMBL3945715,C[C@@H]1CN(Cc2ccccc2)c2cc(F)cc(F)c2[C@H](C)N1C(=O)Nc1cccnc1,active,422.4790000000001,5.363600000000005,1.0,3.0,7.657577319177793
CHEMBL3917820,COc1cccc2c1[C@H](C)N(C(=O)Nc1cccnc1)[C@H](C)CN2Cc1ccccc1,active,416.52500000000015,5.094000000000005,1.0,4.0,6.515700160653214
CHEMBL3925393,COc1ccc2c(c1)[C@H](C)N(C(=O)Nc1cccnc1)[C@H](C)CN2Cc1ccccc1,active,416.52500000000015,5.094000000000005,1.0,4.0,6.275724130399211
CHEMBL3899835,COc1cc2c(cc1F)N(Cc1ccccc1)C[C@@H](C)N(C(=O)Nc1cccnc1)[C@H]2C,active,434.5150000000001,5.233100000000004,1.0,4.0,6.382999658879101
CHEMBL3974104,C[C@@H]1CN(Cc2ccccc2)c2cc(Br)ccc2[C@H](C)N1C(=O)Nc1cccnc1,active,465.3950000000001,5.847900000000005,1.0,3.0,6.368556230986828
CHEMBL3944657,C[C@@H]1CN(Cc2ccccc2)c2cc(C#N)ccc2[C@H](C)N1C(=O)Nc1cccnc1,active,411.50900000000007,4.957080000000004,1.0,4.0,6.0655015487564325
CHEMBL3974827,C[C@@H]1CN(Cc2ccccc2)c2cc(OCC(F)(F)F)ccc2[C@H](C)N1C(=O)Nc1cccnc1,active,484.5220000000001,6.026500000000006,1.0,4.0,6.102372908709558
CHEMBL3903942,Cc1ccc2c(c1)N(Cc1ccccc1)C[C@@H](C)N(C(=O)Nc1cccnc1)[C@H]2C,active,400.5260000000001,5.393820000000004,1.0,3.0,6.636388020107856
CHEMBL3912958,C[C@@H]1CN(Cc2ccccc2)c2cccc(F)c2[C@H](C)N1C(=O)CCc1cccnc1,active,417.5280000000002,5.151800000000005,0.0,3.0,7.2839966563652006
CHEMBL3916048,CC(C)CCN1C[C@@H](C)N(C(=O)CCc2cccnc2)[C@@H](C)c2ccccc21,active,379.54800000000006,4.8586000000000045,0.0,3.0,7.2076083105017466
CHEMBL3921940,CC(C)CCN1C[C@@H](C)N(C(=O)CCc2cccnc2)[C@@H](C)c2c(F)cccc21,active,397.53800000000007,4.997700000000005,0.0,3.0,7.180456064458132
CHEMBL3902886,C[C@@H]1CN(Cc2cnc(C(F)(F)F)s2)c2ccccc2[C@H](C)N1C(=O)CCc1cccnc1,active,474.5520000000002,5.488000000000007,0.0,5.0,7.522878745280337
CHEMBL3930876,C[C@@H]1CN(Cc2cnc(C(F)(F)F)s2)c2cccc(F)c2[C@H](C)N1C(=O)CCc1cccnc1,active,492.5420000000002,5.627100000000006,0.0,5.0,7.031517051446065
CHEMBL3926201,C[C@@H]1CN(Cc2ccccc2)c2cccc(F)c2[C@H](C)N1C(=O)NC1COC1,active,383.46700000000016,3.7058000000000026,1.0,3.0,7.229147988357855
CHEMBL3963167,C[C@@H]1CN(Cc2ccccc2)c2cccnc2[C@H](C)N1C(=O)NCc1ccccc1,active,400.5260000000001,4.763100000000004,1.0,3.0,6.673664139071248
CHEMBL3952497,C[C@@H]1CN(Cc2ccccc2)c2ccncc2[C@H](C)N1C(=O)NCc1ccccc1,inactive,400.5260000000001,4.763100000000004,1.0,3.0,4.958607314841775
